City of Cedar Rapids,Begin to End,Description,Length,Year Built
2nd Ave SW Bikeway,1st St W to 6th St SW,6' Wide PCC Bike Lane,0.4,2013
H Ave NE Bikeway,I-380 to Oakland Rd NE,5' Wide ACC/PCC Bike Lane w/2' to 3' Buffer,0.4,2013
4th Ave SE Bikeway,6th St SE to 3rd St SE,6' Wide ACC Bike Lane,0.2,2013
Ellis Trail,Edgewood Rd NW to Boat Harbor,10' Wide ACC Trail,0.7,2013
Bever Ave SE Bikeway,3rd Ave SE to 34th St SE,12' to 15' Wide Sharrow,1.8,2014
Ellis Trail,3rd Ave SW to 8th Ave SW,10' Wide ACC Trail,0.4,2014
Edgewood Rd SW Trail,Beverly Rd NE to 37th Ave SW,10' Wide ACC Trail,0.5,2015
4th Ave SE Bikeway,6th St SE to 8th St SE,6' Wide ACC Bike Lane,0.2,2015
4th Ave SE Bikeway,8th St SE to 12th St SE,12' Wide Super Sharrow,0.4,2015
4th Ave SE Bikeway,2nd St SE to 3rd St SE,6' Wide ACC Bike Lane,0.1,2015
Boyson Rd NE,C Ave NE to E City Limits,6' Wide ACC Bike Lane,0.8,2015
Boyson Rd NE,Private Drive to C Ave NE,13' to 14.5' Wide Sharrow,0.2,2015
3rd Ave SW/SE,6th St SW to 3rd St SE,Protected Bike Lane,0.8,2015
