,January,February,March,April,May,June,July,August,September,October,November,December
Sioux,63,61,42,40,19,17,20,17,14,11,34,34
Story,22,18,25,41,23,16,6,8,18,31,15,27
Tama,42,20,22,9,15,7,10,11,10,22,15,38
Taylor,17,11,12,9,7,10,6,4,2,8,10,12
Union,77,58,53,14,29,21,15,0,29,60,44,56
Van Buren,121,4,0,1,2,0,70,6,1,8,0,1
Wapello,9,2,6,12,8,7,11,8,2,13,18,15
Warren,89,43,52,30,38,32,39,49,41,55,40,0
Washington,40,3,1,0,4,0,0,0,0,0,0,0
Wayne,93,40,14,4,4,1,0,1,1,1,3,53
Webster,101,61,108,86,81,69,33,0,134,105,58,52
Winnebago,11,14,10,8,9,7,3,4,7,12,16,15
Winneshiek,13,4,0,0,1,0,0,0,0,0,2,12
Woodbury,36,30,25,13,20,22,20,16,10,23,19,17
Worth,7,2,5,7,2,0,1,3,0,3,4,3
Wright,30,18,18,30,8,17,10,19,28,19,29,31
DPS,0,0,0,0,0,0,0,0,0,0,0,0
DNR_LAW,0,0,0,0,0,0,0,0,0,0,0,0
DOT,0,0,0,0,0,0,0,0,0,0,0,0
LOTTERY,0,0,0,0,0,0,0,0,0,0,0,0
STATE FAIR,0,0,0,0,0,0,0,0,0,0,0,0
ILEA,0,0,0,0,0,0,0,0,0,0,0,0
DEPT_OF_CORR,0,0,0,0,0,0,0,0,0,0,0,0
RR,0,0,0,0,0,0,0,0,0,0,0,0
NON RES IND,0,0,0,0,0,0,0,0,2,0,0,0
NON RES I/S,0,0,0,0,0,0,0,0,0,0,0,0
UI,0,0,0,0,0,0,0,0,0,0,0,0
ISU,0,0,0,0,0,0,0,0,0,0,0,0
UNI,0,0,0,0,0,0,0,0,0,0,0,0
DEPT_OF_JUSTICE,0,0,0,0,0,0,0,0,0,0,0,0
P_DEFENDER,0,0,0,0,0,0,0,0,0,0,0,1
NON_RES_CORR,0,0,0,0,0,0,0,0,0,0,0,0
DEPT_CORR_SERV,0,0,0,0,0,0,0,0,0,0,0,0
INSURANCE FRAUD,0,0,0,0,0,0,0,0,0,0,0,0
DNR_PARKS,0,0,0,0,0,0,0,0,0,0,0,0
AGRICULTURE,0,0,0,0,0,0,0,0,0,0,0,0
DEPT_OF_DEFENSE,0,0,0,0,0,0,0,0,0,0,0,0
NON_RES_PO,1,0,0,0,1,0,0,0,0,0,0,0
***GRAND TOTAL***,0,0,0,0,0,0,0,0,0,0,0,0
